"Judge","ID","State","Born.Died","Active.service","Chief.Justice","Retirement","Appointed.by","Reason.for","born","died","appointed","retired","terminated","electionYearAppointment","Replacing","Seat Rank","Date of Submission to Senate","Result","Vote","Date of Result","President","Days active","submit","confirm","electionYearSubmit","electionYearConfirm","Last","Line","LineNum","Died","n","modern","OutAlive","modern2"
"James Wilson",4,"PA","1742-1798","1789-1798",NA,NA,"Washington","Death",1742,1798,1789,1798,1798,FALSE,"Inaugural","AJ","September 24, 1789","confirmed","voice vote","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Wilson","AJ (seat 1)",2,"Died in Office",1,"pre 1920","Death","pre 1920"
"John Blair, Jr.",5,"VA","1732-1800","1789-1795",NA,NA,"Washington","Resignation",1732,1800,1789,1795,1795,FALSE,"Inaugural","AJ","September 24, 1789","confirmed","voice vote","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Blair","AJ (seat 3)",4,"Resigned/Retired/Currently Serving",1,"pre 1920","Resignation/Retirement","pre 1920"
"John Jay",1,"NY","1745-1829","1789-1795","1789-1795",NA,"Washington","Resignation",1745,1829,1789,1795,1795,FALSE,"Inaugural","CJ","September 24, 1789","confirmed","voice vote","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Jay","Chief Justice",1,"Resigned/Retired/Currently Serving",2,"pre 1920","Resignation/Retirement","pre 1920"
"John Rutledge",2,"SC","1739-1800","1789-1791",NA,NA,"Washington","Resignation",1739,1800,1789,1791,1791,FALSE,"Inaugural","AJ","September 24, 1789","confirmed","voice vote","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Rutledge","AJ (seat 4)",5,"Resigned/Retired/Currently Serving",4,"pre 1920","Resignation/Retirement","pre 1920"
"Robert H. Harrison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inaugural","AJ","September 24, 1789","declined","","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Harrison","AJ (seat 5)",6,NA,1,NA,NA,"pre 1920"
"William Cushing",3,"MA","1732-1810","1789-1810",NA,NA,"Washington","Resignation",1732,1810,1789,1810,1810,FALSE,"Inaugural","AJ","September 24, 1789","confirmed","voice vote","September 26, 1789","Washington","2",1789-09-24,1789-09-26,FALSE,FALSE,"Cushing","AJ (seat 2)",3,"Resigned/Retired/Currently Serving",2,"pre 1920","Resignation/Retirement","pre 1920"
"James Iredell",6,"NC","1751-1799","1790-1799",NA,NA,"Washington","Death",1751,1799,1790,1799,1799,FALSE,"Harrison","AJ","February 8, 1790","confirmed","voice vote","February 10, 1790","Washington","2",1790-02-08,1790-02-10,FALSE,FALSE,"Iredell","AJ (seat 5)",6,"Died in Office",1,"pre 1920","Death","pre 1920"
"Thomas Johnson",7,"MD","1732-1819","1792-1793",NA,NA,"Washington","Resignation",1732,1819,1792,1793,1793,TRUE,"Rutledge","AJ","November 1, 1791","confirmed","voice vote","November 7, 1791","Washington","6",1791-11-01,1791-11-07,FALSE,FALSE,"Johnson","AJ (seat 4)",5,"Resigned/Retired/Currently Serving",1,"pre 1920","Resignation/Retirement","pre 1920"
"William Paterson",8,"NJ","1745-1806","1793-1806",NA,NA,"Washington","Death",1745,1806,1793,1806,1806,FALSE,"Johnson","AJ","February 27, 1793","withdrawn","","February 28, 1793","Washington","1",1793-02-27,1793-02-28,FALSE,FALSE,"Paterson","AJ (seat 4)",5,"Died in Office",2,"pre 1920","Death","pre 1920"
"William Paterson",8,"NJ","1745-1806","1793-1806",NA,NA,"Washington","Death",1745,1806,1793,1806,1806,FALSE,"Johnson","AJ","March 4, 1793","confirmed","voice vote","March 4, 1793","Washington","0",1793-03-04,1793-03-04,FALSE,FALSE,"Paterson","AJ (seat 4)",5,"Died in Office",2,"pre 1920","Death","pre 1920"
"John Rutledge",2,"SC","1739-1800","1795-1795","1795",NA,"Washington","Rejection",1739,1800,1795,1795,1795,FALSE,"Jay","CJ","December 10, 1795","rejected","10–14","December 15, 1795","Washington","5",1795-12-10,1795-12-15,FALSE,FALSE,"Rutledge","Chief Justice",1,"Resigned/Retired/Currently Serving",4,"pre 1920","Resignation/Retirement","pre 1920"
"Samuel Chase",9,"MD","1741-1811","1796-1811",NA,NA,"Washington","Death",1741,1811,1796,1811,1811,TRUE,"Blair","AJ","January 26, 1796","confirmed","voice vote","January 27, 1796","Washington","1",1796-01-26,1796-01-27,TRUE,TRUE,"Chase","AJ (seat 3)",4,"Died in Office",1,"pre 1920","Death","pre 1920"
"William Cushing",3,"MA","1732-1810","1789-1810",NA,NA,"Washington","Death",1732,1810,1789,1810,1810,FALSE,"Rutledge","CJ","January 26, 1796","declined","","January 27, 1796","Washington","1",1796-01-26,1796-01-27,TRUE,TRUE,"Cushing","Chief Justice",1,"Died in Office",2,"pre 1920","Death","pre 1920"
"Oliver Ellsworth",10,"CT","1745-1807","1796-1800","1796-1800",NA,"Washington","Resignation",1745,1807,1796,1800,1800,TRUE,"Rutledge","CJ","March 3, 1796","confirmed","21–1","March 4, 1796","Washington","1",1796-03-03,1796-03-04,TRUE,TRUE,"Ellsworth","Chief Justice",1,"Resigned/Retired/Currently Serving",1,"pre 1920","Resignation/Retirement","pre 1920"
"Bushrod Washington",11,"VA","1762-1829","1798-1829",NA,NA,"Adams, J.","Death",1762,1829,1798,1829,1829,FALSE,"Wilson","AJ","December 19, 1798","confirmed","voice vote","December 20, 1798","J. Adams","1",1798-12-19,1798-12-20,FALSE,FALSE,"Washington","AJ (seat 1)",2,"Died in Office",1,"pre 1920","Death","pre 1920"
"Alfred Moore",12,"NC","1755-1810","1800-1804",NA,NA,"Adams, J.","Resignation",1755,1810,1800,1804,1804,TRUE,"Iredell","AJ","December 4, 1799","confirmed","voice vote","December 10, 1799","J. Adams","6",1799-12-04,1799-12-10,FALSE,FALSE,"Moore","AJ (seat 5)",6,"Resigned/Retired/Currently Serving",1,"pre 1920","Resignation/Retirement","pre 1920"
"John Jay",1,"NY","1745-1829","1789-1795","1789-1795",NA,"Washington","Resignation",1745,1829,1789,1795,1795,FALSE,"Ellsworth","CJ","December 18, 1800","declined","","December 19, 1800","J. Adams","1",1800-12-18,1800-12-19,TRUE,TRUE,"Jay","Chief Justice",1,"Resigned/Retired/Currently Serving",2,"pre 1920","Resignation/Retirement","pre 1920"
"John Marshall",13,"VA","1755-1835","1801-1835","1801-1835",NA,"Adams, J.","Death",1755,1835,1801,1835,1835,FALSE,"Ellsworth","CJ","January 20, 1801","confirmed","voice vote","January 27, 1801","J. Adams","7",1801-01-20,1801-01-27,FALSE,FALSE,"Marshall","Chief Justice",1,"Died in Office",1,"pre 1920","Death","pre 1920"
"William Johnson",14,"SC","1771-1834","1804-1834",NA,NA,"Jefferson","Death",1771,1834,1804,1834,1834,TRUE,"Moore","AJ","March 22, 1804","confirmed","voice vote","March 24, 1804","Jefferson","2",1804-03-22,1804-03-24,TRUE,TRUE,"Johnson","AJ (seat 5)",6,"Died in Office",1,"pre 1920","Death","pre 1920"
"Henry Brockholst Livingston",15,"NY","1757-1823","1807-1823",NA,NA,"Jefferson","Death",1757,1823,1807,1823,1823,FALSE,"Paterson","AJ","December 13, 1806","confirmed","voice vote","December 17, 1806","Jefferson","4",1806-12-13,1806-12-17,FALSE,FALSE,"Livingston","AJ (seat 4)",5,"Died in Office",1,"pre 1920","Death","pre 1920"
