"No.","Name","Term","Vice-President","Party","Congress","House Majority","Senate Majority","start","end","Last"
"1","George Washington","1789-1797","John Adams","None","1st
2nd
3rd
4th","N/A","N/A",1789,1797,"Washington"
"2","John Adams","1797-1801","Thomas Jefferson","Federalist","5th
6th","N/A
Fed","N/A
Fed",1797,1801,"Adams"
"3","Thomas Jefferson","1801-1809","Aaron Burr (1801-05)
George Clinton (1805-09)","Democratic-Republican","7th
8th
9th
10th","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep",1801,1809,"Jefferson"
"4","James Madison","1809-1817","George Clinton (1809-12)(a)
Elbridge Gerry (1813-14)(a)","Democratic-Republican","11th
12th
13th
14th","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep",1809,1817,"Madison"
"5","James Monroe","1817-1825","Daniel D. Tompkins","Democratic-Republican","15th
16th
17th
18th","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep","Dem-Rep
Dem-Rep
Dem-Rep
Dem-Rep",1817,1825,"Monroe"
"6","John Quincy Adams","1825-1829","John C. Calhoun","National-Republican","19th
20th","Nat-Rep
Dem","Nat-Rep
Dem",1825,1829,"Adams"
"7","Andrew Jackson","1829-1837","John C. Calhoun (1829-32)(b)
Martin Van Buren (1833-37)","Democrat","21st
22nd
23rd
24th","Dem
Dem
Dem
Dem","Dem
Dem
Dem
Dem",1829,1837,"Jackson"
"8","Martin Van Buren","1837-1841","Richard M. Johnson","Democrat","25th
26th","Dem
Dem","Dem
Dem",1837,1841,"Buren"
"9","William H. Harrison","1841 (a)","John Tyler","Whig","","","",1841,1841,"Harrison"
"10","John Tyler","1841-1845","vacant","Whig","27th
28th","Whig
Dem","Whig
Dem",1841,1845,"Tyler"
"11","James K. Polk","1845-1849","George M. Dallas","Democrat","29th
30th","Dem
Whig","Dem
Dem",1845,1849,"Polk"
"12","Zachary Taylor","1849-1850 (a)","Millard Fillmore","Whig","31st","Dem","Dem",1849,1850,"Taylor"
"13","Millard Fillmore","1850-1853","vacant","Whig","32nd","Dem","Dem",1850,1853,"Fillmore"
"14","Franklin Pierce","1853-1857","William R.D. King","Democrat","33rd
34th","Dem
Rep","Dem
Dem",1853,1857,"Pierce"
"15","James Buchanan","1857-1861","John C. Breckinridge","Democrat","35th
36th","Dem
Rep","Dem
Dem",1857,1861,"Buchanan"
"16","Abraham Lincoln","1861-1865 (a)","Hannibal Hamlin (1861-65)
Andrew Johnson (1865)","Republican","37th
38th","Rep
Rep","Rep
Rep",1861,1865,"Lincoln"
"17","Andrew Johnson","1865-1869","vacant","Republican","39th
40th","Union
Rep","Union
Rep",1865,1869,"Johnson"
