"Pollster","Region","Obama","Romney","Date","Obama.Romney","isNational"
"Rasmussen Tracking","National",47,46,2012-09-24,1,TRUE
"Gallup Tracking","National",48,45,2012-09-24,3,TRUE
"Rasmussen Tracking","National",47,46,2012-09-23,1,TRUE
"PPP","Colorado",51,45,2012-09-23,6,FALSE
"ARG","Nevada",51,44,2012-09-23,7,FALSE
"ARG","Iowa",51,44,2012-09-23,7,FALSE
"WeAskAmerica","Wisconsin",53,41,2012-09-23,12,FALSE
"PPP","Florida",50,46,2012-09-23,4,FALSE
"Washington Post","Florida",51,47,2012-09-23,4,FALSE
"Washington Post","Ohio",52,44,2012-09-23,8,FALSE
"Monmouth University","New Jersey",52,37,2012-09-23,15,FALSE
"Gallup Tracking","National",48,46,2012-09-23,2,TRUE
"Gravis Marketing","Ohio",45,44,2012-09-22,1,FALSE
"ARG","Florida",50,45,2012-09-22,5,FALSE
"Rasmussen Tracking","National",46,46,2012-09-22,0,TRUE
"Gallup Tracking","National",48,46,2012-09-22,2,TRUE
"Rasmussen Tracking","National",46,46,2012-09-21,0,TRUE
"Gallup Tracking","National",47,47,2012-09-21,0,TRUE
"Rasmussen Reports","Michigan",54,42,2012-09-20,12,FALSE
"Retail Assoc. of Nevada/POS","Nevada",46,46,2012-09-20,0,FALSE
"PPP","Nevada",52,43,2012-09-20,9,FALSE
"Tribune Review/Susquehana","Pennsylvania",47,45,2012-09-20,2,FALSE
"Rasmussen Tracking","National",46,45,2012-09-20,1,TRUE
"Omaha World Herald","Nebraska",40,51,2012-09-20,-11,FALSE
"Politico/GWU/Battleground","National",50,47,2012-09-20,3,TRUE
"Gallup Tracking","National",47,47,2012-09-20,0,TRUE
"Mercyhurst University","Pennsylvania",48,40,2012-09-20,8,FALSE
"Rasmussen Reports","Pennsylvania",51,39,2012-09-19,12,FALSE
"Rasmussen Reports","Iowa",44,47,2012-09-19,-3,FALSE
"Civitas","North Carolina",49,45,2012-09-19,4,FALSE
"PPP","Wisconsin",52,45,2012-09-19,7,FALSE
"Star Tribune/Mason Dixon","Minnesota",48,40,2012-09-19,8,FALSE
"Mason Dixon","Montana",42,51,2012-09-19,-9,FALSE
"Miami Herald/Mason Dixon","Florida",48,47,2012-09-19,1,FALSE
"Rasmussen Tracking","National",47,45,2012-09-19,2,TRUE
"National Journal","National",50,43,2012-09-19,7,TRUE
"Purple Strategies","Ohio",48,44,2012-09-19,4,FALSE
"Purple Strategies","Florida",47,48,2012-09-19,-1,FALSE
"Purple Strategies","Virginia",46,43,2012-09-19,3,FALSE
"Purple Strategies","Colorado",48,45,2012-09-19,3,FALSE
"Purple Strategies","Arizona",45,48,2012-09-19,-3,FALSE
"Purple Strategies","North Carolina",48,46,2012-09-19,2,FALSE
"Gallup Tracking","National",47,47,2012-09-19,0,TRUE
"InsiderAdvantage","Georgia",35,56,2012-09-18,-21,FALSE
"Rasmussen Reports","Nevada",47,45,2012-09-18,2,FALSE
