"date","Pollster","Type","Candidate1","Candidate2","Candidate1pct","Candidate2pct","Obama.Romney","State"
2012-08-30,"EPIC-MRA","Michigan","Obama","Romney",49,46,3,"michigan"
2012-08-30,"PPP (D)","Missouri","Obama","Romney",41,53,-12,"missouri"
2012-08-29,"PPP (D)","Nevada","Obama","Romney",50,47,3,"nevada"
2012-08-29,"PPP (D)","Connecticut","Obama","Romney",53,40,13,"connecticut"
2012-08-29,"Rutgers-Eagleton","New Jersey","Obama","Romney",51,37,14,"new jersey"
2012-08-28,"High Point/SurveyUSA","North Carolina","Obama","Romney",43,43,0,"north carolina"
2012-08-28,"Quinnipiac","Connecticut","Obama","Romney",52,45,7,"connecticut"
2012-08-27,"Mitchell Research","Michigan","Obama","Romney",47,47,0,"michigan"
2012-08-26,"Columbus Dispatch*","Ohio","Obama","Romney",45,45,0,"ohio"
2012-08-25,"Post-Dispatch/Mason-Dixon","Missouri","Obama","Romney",43,50,-7,"missouri"
2012-08-25,"Philadelphia Inquirer","Pennsylvania","Obama","Romney",51,42,9,"pennsylvania"
2012-08-24,"Rasmussen Reports","Missouri","Obama","Romney",47,46,1,"missouri"
2012-08-23,"Ohio Poll/Univ of Cin.","Ohio","Obama","Romney",49,46,3,"ohio"
2012-08-23,"CBS/NYT/Quinnipiac","Florida","Obama","Romney",49,46,3,"florida"
2012-08-23,"CBS/NYT/Quinnipiac","Ohio","Obama","Romney",50,44,6,"ohio"
2012-08-23,"CBS/NYT/Quinnipiac","Wisconsin","Obama","Romney",49,47,2,"wisconsin"
2012-08-23,"Rasmussen Reports","Connecticut","Obama","Romney",51,43,8,"connecticut"
2012-08-22,"Marquette University","Wisconsin","Obama","Romney",49,46,3,"wisconsin"
2012-08-22,"LVRJ/SurveyUSA","Nevada","Obama","Romney",47,45,2,"nevada"
2012-08-22,"Rasmussen Reports","New Mexico","Obama","Romney",52,38,14,"new mexico"
2012-08-22,"Rasmussen Reports","Montana","Obama","Romney",38,55,-17,"montana"
2012-08-21,"Siena","New York","Obama","Romney",62,33,29,"new york"
2012-08-20,"Sooner Poll","Oklahoma","Obama","Romney",29,58,-29,"oklahoma"
2012-08-16,"CNN/Opinion Research","Wisconsin","Obama","Romney",49,45,4,"wisconsin"
2012-08-16,"Rasmussen Reports","Wisconsin","Obama","Romney",47,48,-1,"wisconsin"
2012-08-16,"Franklin & Marshall","Pennsylvania","Obama","Romney",47,42,5,"pennsylvania"
2012-08-16,"Rasmussen Reports","Florida","Obama","Romney",43,45,-2,"florida"
2012-08-16,"Mitchell Research","Michigan","Obama","Romney",49,44,5,"michigan"
2012-08-15,"Purple Strategies","Ohio","Obama","Romney",44,46,-2,"ohio"
