Site,Type,Araneae,Acari,Coleoptera_ Cantharidae,Coleoptera_ Carabidae,Coleoptera_ Chrysomelidae,Coleoptera_ Cleridae,Coleoptera_ Coccinellidae,Coleoptera_ Curculionidae,Coleoptera_ Elateridae,Coleoptera_ Lampyridae,Coleoptera_ Meloidae,Coleoptera_ Melyridae,Coleoptera_ Mordellidae,Coleoptera_ Staphylinidae,Collembola,Diptera,Hemiptera_ Alydidae,Hemiptera_ Anthocoridae,Hemiptera_ Aphididae,Hemiptera_ Cercopidae,Hemiptera_ Cicadellidae,Hemiptera_ Cixiidae,Hemiptera_ Coreidae,Hemiptera_ Delphacidae,Hemiptera_ Dictyopharidae,Hemiptera_ Issidae,Hemiptera_ Lygaeidae,Hemiptera_ Membracidae,Hemiptera_ Miridae,Hemiptera_ Nabidae,Hemiptera_ Pentatomidae,Hemiptera_ Psyllidae,Hemiptera_ Reduviidae,Hemiptera_ Thyreocoridae,Hemiptera_ Tingidae,Hymenoptera,Hymenoptera_ Formicidae,Neuroptera_ Chrysopidae,Orthoptera_ Acrididae,Orthoptera_ Gryllidae,Orthoptera_ Tettigonidae,Phasmatodea_ Heteronemiidae,Psocoptera,Thysanoptera
C-Turtlehead Fen,1,15,0,0,0,0,0,0,4,0,0,2,0,2,0,0,45,0,0,0,7,17,0,0,0,0,0,5,3,9,0,1,2,0,4,0,21,0,0,10,41,8,0,0,1
Doolittle,1,3,1,0,0,47,0,4,5,0,0,0,0,0,1,0,207,0,3,1,11,14,0,0,12,0,0,12,1,27,0,2,3,0,0,0,18,37,2,0,2,1,0,0,8
Judson,1,23,0,0,0,7,0,0,0,0,0,0,0,0,0,3,36,2,0,4,1,47,0,0,9,1,0,0,0,0,0,0,1,0,0,0,13,37,0,2,0,3,0,2,2
Liska-Stanek,1,9,0,0,0,32,1,0,7,0,0,0,1,1,1,0,48,0,2,0,4,21,13,0,31,0,2,1,1,8,0,1,1,1,1,1,16,48,1,0,0,1,0,1,10
Mama,1,22,1,0,0,83,0,2,2,0,0,0,0,9,0,1,51,0,15,4,1,80,1,1,9,12,1,5,1,1,0,0,0,0,0,0,15,55,2,55,0,10,0,0,1
Marietta Prairie,1,10,0,0,1,10,0,0,3,1,0,0,0,0,0,0,109,1,1,0,0,78,0,0,1,0,0,0,0,9,0,2,4,0,0,0,16,48,2,6,0,6,0,0,35
Moeckly,1,19,4,18,0,12,1,7,3,1,1,0,0,2,0,16,74,11,11,4,13,91,5,0,7,0,0,17,7,15,2,9,3,1,13,3,55,41,7,10,5,15,2,0,9
Morris,1,20,3,14,0,20,0,0,2,0,1,0,0,0,0,3,163,0,11,12,3,46,3,0,4,0,0,0,0,6,0,3,0,0,4,0,95,66,2,3,1,2,0,1,2
Reichelt Unit,1,42,51,0,0,10,0,0,5,0,2,0,0,2,0,1,64,0,0,0,6,88,0,0,1,4,4,0,0,4,0,0,3,2,1,0,50,6,0,7,2,11,0,2,12
Sheeder,1,27,3,4,1,8,0,0,19,1,10,3,2,1,0,0,46,0,2,1,8,50,36,0,8,10,4,6,5,74,0,1,26,1,0,0,97,24,0,2,5,3,0,7,11
Big Creek,2,17,156,0,2,4,0,1,2,0,3,0,0,20,0,2,79,0,0,0,9,22,9,0,10,0,0,0,0,51,0,0,1,0,0,1,51,16,1,0,35,1,0,6,7
Briggs Woods,2,10,2,0,0,18,0,2,0,0,0,0,0,0,0,0,30,0,2,3,3,21,2,0,136,1,0,1,0,4,0,0,0,0,0,0,12,3,0,1,0,0,0,0,6
Colo Bogs,2,32,0,7,1,40,0,4,11,0,2,0,0,4,1,0,139,0,30,2,3,40,16,0,2,2,1,10,2,44,0,0,4,6,2,0,45,55,2,1,15,2,0,2,15
Grant Ridge,2,12,2,0,0,2,0,0,3,0,0,0,0,0,0,3,179,0,3,75,1,40,0,0,12,0,0,0,2,5,0,2,31,0,0,0,24,14,1,1,36,0,1,1,15
Grimes Farm,2,10,5,1,0,25,0,4,3,0,0,0,0,1,0,0,47,2,0,65,1,25,0,0,6,1,1,0,0,5,0,1,0,0,0,1,48,6,1,13,4,1,0,1,7
McFarland,2,17,51,2,0,80,0,0,2,0,0,0,0,1,0,0,84,0,1,0,2,8,2,0,2,0,0,0,0,0,0,0,17,1,0,0,10,2,3,0,23,0,0,1,47
Meetz,2,10,2,1,0,6,0,1,3,0,0,0,0,0,0,2,82,0,0,11,0,19,0,0,10,0,0,0,0,0,0,1,0,0,0,145,18,0,0,0,0,1,0,0,2
Prairie Flower,2,5,0,0,0,12,0,0,1,0,0,0,0,0,0,0,28,0,0,2,0,14,0,0,2,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,8,1,0,56,8
Richards Marsh,2,7,1,4,0,65,0,0,1,0,0,0,0,0,7,0,69,0,16,21,1,11,0,0,10,0,0,3,1,8,0,5,1,0,1,0,25,1,1,0,0,0,0,0,5
Stargrass,2,19,0,1,0,18,0,3,23,0,0,0,2,0,0,1,126,0,1,13,2,15,0,3,3,6,0,6,9,14,0,2,10,2,1,2,25,17,1,5,2,2,0,0,0
C-Airport,3,15,12,1,1,13,0,0,1,0,1,0,0,2,0,0,41,0,1,15,0,24,2,0,6,3,1,1,0,12,0,2,3,1,0,0,19,5,1,1,21,6,0,7,5
C-E - Marsh,3,22,0,0,0,59,0,3,19,0,0,0,0,1,0,6,58,0,0,0,1,58,0,0,7,3,2,3,0,1,0,0,0,1,0,0,20,6,0,22,0,5,0,0,13
C-Puccoon,3,19,0,0,0,2,0,0,2,0,0,0,0,2,0,4,136,0,0,0,0,719,0,0,19,0,5,0,0,1,1,0,0,0,0,0,39,3,0,2,25,24,0,50,98
C-Sandhill E,3,11,1,1,0,5,0,0,0,0,0,0,0,1,0,0,41,0,0,0,4,23,0,0,0,1,6,0,3,1,0,1,0,2,0,0,27,8,0,0,26,11,2,0,7
C-Sandhill W,3,21,0,1,0,3,0,0,24,0,0,0,2,3,0,1,32,0,4,3,2,34,1,1,0,11,0,5,4,4,0,2,1,0,0,0,31,7,2,3,27,0,0,1,3
Neal 1,3,10,2,0,0,71,0,0,2,0,0,0,0,0,0,0,109,1,4,10,2,54,0,0,3,0,0,5,0,5,0,2,1,0,0,0,57,22,1,2,6,6,1,0,25
Neal 2,3,20,3,0,0,39,0,4,14,0,0,1,0,1,4,0,47,1,3,27,8,43,0,0,78,0,0,3,3,14,0,1,2,0,0,0,53,10,2,1,0,0,0,0,37
Neal 3,3,9,0,0,0,5,2,0,1,0,0,0,0,0,0,0,44,0,0,1,48,51,0,0,6,0,0,1,0,15,0,2,0,0,0,0,36,10,5,0,0,1,0,0,5
Neal 4,3,4,4,0,0,24,0,2,0,0,0,0,0,0,0,2,41,0,4,20,4,8,0,0,24,0,0,2,0,5,1,1,2,0,1,0,82,0,0,0,0,0,0,0,12
Neal 5,3,26,1,0,0,14,1,17,3,0,0,0,3,1,1,0,50,0,11,41,10,130,0,0,6,0,0,17,0,93,1,2,3,0,1,0,31,23,1,16,6,2,0,2,6
