Key,Name,Round.reached,Pct.1st.Serves.In,Aces,Double.Faults,Unforced.Errors,Win.on.1st.Serve,Win.on.2nd.Serve,Winners,Receiving.Points.Won,Break.Point.Conversions,Net.Approaches,Total.Points.Won,Fastest.Serve.Speed,Average.1st.Serve.Speed,Average.2nd.Serve.Speed,Sets.Played,Tie.Breaks.Played,Total.Games,Return.Games.Won,Server.Points.Won,Tournament,Server.points.won.by.total.games,Return.games.won.by.total.games,Winners.by.unforced.errors
10230,Greta Arn,3,56.33,3.33,6.33,20.33,64.67,42.33,13.67,40.67,30.33,61.5,70,178.5,167,136,2.33,0,22.33,4,40,AUS,1.79131213613972,0.179131213613972,0.672405312346286
10334,Sofia Arvidsson,1,67,1,3,29,53,32,8,40,25,100,53,162,150,119,2,0,16,1,26,AUS,1.625,0.0625,0.275862068965517
20458,Alberta Brianti,2,61.5,0.5,3.5,3.5,53.5,39,0.5,44.5,25,NA,60.5,NA,NA,NA,2,0,17.5,3.5,29,AUS,1.65714285714286,0.2,0.142857142857143
20556,Elena Baltacha,1,58,1,3,3,67,46,1,36,0,NA,62,NA,NA,NA,2,0,18,0,36,AUS,2,0,0.333333333333333
20576,Iveta Benesova,4,64.25,2.5,1.75,17,65.5,51.75,19.5,41.75,30.5,87.33,69.5,163.67,154,132.33,2.25,0,19.25,3.25,38.75,AUS,2.01298701298701,0.168831168831169,1.14705882352941
20596,Eva Birnerova,1,66,NA,10,10,48,32,NA,45,67,NA,57,NA,NA,NA,2,0,18,4,31,AUS,1.72222222222222,0.222222222222222,NA
20631,Marion Bartoli,3,62,3.33,4,19,71,48.67,13,47.33,40.33,72.67,61,173.67,164,150.33,2,0,17.67,3.67,33.67,AUS,1.90548953027731,0.207696661007357,0.684210526315789
20693,Nina Bratchikova,3,61.33,2.33,2.33,9.67,67,47.67,8.33,44.67,46.33,71,63.33,173,160,125,2.33,0,18.33,3.33,38.67,AUS,2.10965630114566,0.181669394435352,0.861427094105481
20702,Kateryna Bondarenko,1,64,0,5,5,69,30,0,36,75,NA,67,NA,NA,NA,2,1,22,3,41,AUS,1.86363636363636,0.136363636363636,0
30458,Kim Clijsters,6,62.5,2.6,4,30.17,75,44.67,23,50.67,50.17,83,77.17,174.5,158.33,139.83,2.33,0.33,21.67,4.67,42.33,AUS,1.9533917858791,0.215505306875865,0.762346702021876
