,St.Number,Population,Climate,Diversions,Economic,Education,Community,Health,House,Safety,Transportation,Urban,Score,Latitude,Longitude
1.Albertville.AL,1,76802,68,44,43,12,25,30,87,68,17,76,470,34.268,-86.209
2.Auburn-Opelika.AL,2,91869,65,27,30,56,31,55,77,60,36,72,509,32.61,-85.481
3.Cullman.AL,3,71615,71,26,32,11,37,36,85,69,24,78,469,34.175,-86.844
4.Selma.AL,4,47991,64,28,26,28,49,35,83,32,36,61,442,32.407,-87.021
5.Talladega.AL,5,76034,62,26,20,15,34,39,87,62,32,84,461,33.436,-86.106
6.Fairbanks.AK,6,84711,32,59,50,63,45,37,45,55,56,0,442,50,-130
7.Prescott.AZ,7,127942,65,58,36,40,51,26,54,60,53,62,505,34.54,-112.468
8.Sierra.Vista.AZ,8,107446,57,46,30,39,38,12,69,64,62,45,462,31.554,-110.303
9.Blytheville.AR,9,50923,66,29,39,20,17,24,79,32,36,68,410,35.927,-89.919
10.El.Dorado.AR,10,46255,63,38,34,27,59,37,79,52,39,47,475,33.208,-92.666
11.Hot.Springs.AR,11,79792,63,59,38,24,67,29,70,57,33,61,501,34.504,-93.055
12.Jonesboro.AR,12,73447,68,35,51,34,59,56,78,55,40,44,520,35.842,-90.704
13.Russellville.AR,13,50211,65,38,37,33,47,32,80,59,25,49,465,35.278,-93.134
14.Searcy.AR,14,59554,71,29,30,30,40,42,83,64,24,54,467,32.251,-91.736
15.Arcata-Eureka.CA,15,121715,82,57,31,54,60,38,59,54,49,20,504,40.867,-124.082
16.El.Centro-Calexico-Brawley.CA,16,137090,36,30,34,36,32,43,63,61,52,47,434,32.792,-115.562
17.Hanford-Lemoore.CA,17,110867,34,28,20,30,18,34,75,54,49,63,405,36.327,-119.645
18.Hollister.CA,18,41082,73,33,27,38,19,45,60,61,18,78,452,36.853,-121.401
19.Torrington.CT,19,178523,67,40,36,55,49,30,32,78,46,87,520,41.801,-73.122
20.Key.West.FL,20,81796,71,88,50,36,53,42,34,48,49,46,517,24.555,-81.783
21.Vero.Beach.FL,21,95618,59,54,48,30,52,48,55,63,41,61,511,27.638,-80.397
22.Brunswick.GA,22,65037,44,61,46,29,49,62,75,54,49,58,527,31.15,-81.492
23.Dalton.GA,23,76859,69,34,46,17,40,58,70,64,49,82,529,34.77,-84.97
24.Dublin.GA,24,42264,70,44,34,21,44,46,83,51,46,63,502,32.54,-82.904
25.Gainesville.GA,25,105204,72,30,43,19,42,48,74,69,19,94,510,34.298,-83.824
26.Hinesville.GA,26,58895,67,14,36,28,12,29,83,48,37,46,400,31.847,-81.596
27.La.Grange.GA,27,57560,67,38,27,24,42,57,73,69,48,90,535,33.039,-85.031
28.Milledgeville.GA,28,41334,71,30,34,28,37,65,80,67,47,72,531,33.08,-83.232
29.Rome.GA,29,83268,68,37,36,31,50,74,71,60,40,89,556,34.257,-85.165
