Stock,Date,Open,High,Low,Close,Volume
AAPL,01-Jan-2013,532.17,532.17,532.17,532.17,0
AAPL,02-Jan-2013,553.82,555,541.63,549.03,20017800
AAPL,03-Jan-2013,547.57,549.67,541,542.1,12605800
AAPL,04-Jan-2013,536.97,538.63,525.83,527,21225900
AAPL,07-Jan-2013,522.02,529.3,515.2,523.9,17291100
AAPL,08-Jan-2013,529.21,531.89,521.25,525.31,16382300
AAPL,09-Jan-2013,522.7,525.01,515.99,517.1,14557100
AAPL,10-Jan-2013,528.55,528.72,515.52,523.51,21469300
AAPL,11-Jan-2013,521.14,525.32,519.02,520.3,12526900
AAPL,14-Jan-2013,502.68,507.5,498.51,501.75,26220600
AAPL,15-Jan-2013,498.3,498.99,483.38,485.92,31313200
AAPL,16-Jan-2013,494.64,509.44,492.5,506.09,24671400
AAPL,17-Jan-2013,510.31,510.75,502.03,502.68,16201700
AAPL,18-Jan-2013,498.52,502.22,496.4,500,16898100
AAPL,21-Jan-2013,500,500,500,500,0
AAPL,22-Jan-2013,504.56,507.88,496.63,504.77,16483700
AAPL,23-Jan-2013,508.81,514.99,504.77,514.01,30767900
AAPL,24-Jan-2013,460,465.73,450.25,450.5,52173200
AAPL,25-Jan-2013,451.69,456.23,435,439.88,43141900
AAPL,28-Jan-2013,437.83,453.21,435.86,449.83,28054100
AAPL,29-Jan-2013,458.5,460.2,452.12,458.27,20395400
AAPL,30-Jan-2013,457,462.6,454.5,456.83,14898300
AAPL,31-Jan-2013,456.98,459.28,454.98,455.49,11404700
AAPL,01-Feb-2013,459.12,459.48,448.35,453.62,19266700
AAPL,04-Feb-2013,453.91,455.94,442,442.32,17039800
AAPL,05-Feb-2013,444.05,459.74,442.22,457.84,20476600
AAPL,06-Feb-2013,456.47,466.5,452.58,457.35,21203700
AAPL,07-Feb-2013,463.25,470,454.12,468.22,25163500
AAPL,08-Feb-2013,474,478.81,468.25,474.98,22612700
AAPL,11-Feb-2013,476.5,484.94,473.25,479.93,18479700
AAPL,12-Feb-2013,479.51,482.38,467.74,467.9,21751800
AAPL,13-Feb-2013,467.21,473.64,463.22,467.01,16971600
AAPL,14-Feb-2013,464.52,471.64,464.02,466.59,12696600
AAPL,15-Feb-2013,468.85,470.16,459.92,460.16,13997300
AAPL,18-Feb-2013,460.16,460.16,460.16,460.16,0
AAPL,19-Feb-2013,461.1,462.73,453.85,459.99,15563400
AAPL,20-Feb-2013,457.69,457.69,448.8,448.85,17010600
AAPL,21-Feb-2013,446,449.17,442.82,446.06,15970700
AAPL,22-Feb-2013,449.25,451.6,446.6,450.81,11809000
AAPL,25-Feb-2013,453.85,455.12,442.57,442.8,13306300
AAPL,26-Feb-2013,443.82,451.54,437.66,448.97,17910500
AAPL,27-Feb-2013,448.43,452.44,440.65,444.57,20976700
AAPL,28-Feb-2013,444.05,447.87,441.4,441.4,11518300
AAPL,01-Mar-2013,438,438.18,429.98,430.47,19730200
AAPL,04-Mar-2013,427.8,428.2,419,420.05,20812000
AAPL,05-Mar-2013,421.48,435.19,420.75,431.14,22801000
AAPL,06-Mar-2013,434.51,435.25,424.43,425.66,16437400
AAPL,07-Mar-2013,424.5,432.01,421.06,430.58,16731100
AAPL,08-Mar-2013,429.8,435.43,428.61,431.72,13985500
AAPL,11-Mar-2013,429.72,439.01,425.14,437.87,16936900
AAPL,12-Mar-2013,435.6,438.88,427.57,428.43,16639600
AAPL,13-Mar-2013,428.45,434.5,425.36,428.35,14493400
AAPL,14-Mar-2013,432.83,434.64,430.45,432.5,10852600
AAPL,15-Mar-2013,437.93,444.23,437.25,443.66,22998500
AAPL,18-Mar-2013,441.45,457.46,441.2,455.72,21649800
AAPL,19-Mar-2013,459.5,460.97,448.5,454.49,18813300
AAPL,20-Mar-2013,457.42,457.63,449.59,452.08,11023500
AAPL,21-Mar-2013,450.22,457.98,450.1,452.73,13687600
AAPL,22-Mar-2013,454.58,462.1,453.11,461.91,14110800
AAPL,25-Mar-2013,464.69,469.95,461.78,463.58,17897600
AAPL,26-Mar-2013,465.44,465.84,460.53,461.14,10510400
AAPL,27-Mar-2013,456.46,456.8,450.73,452.08,11836000
AAPL,28-Mar-2013,449.82,451.82,441.62,442.66,15820700
AAPL,29-Mar-2013,442.66,442.66,442.66,442.66,0
AAPL,01-Apr-2013,442.15,443.7,427.74,428.91,13918900
AAPL,02-Apr-2013,427.6,438.14,426.4,429.79,18920400
AAPL,03-Apr-2013,431.37,437.28,430.31,431.99,12971900
AAPL,04-Apr-2013,433.76,435,425.25,427.72,12809200
AAPL,05-Apr-2013,424.5,424.95,419.68,423.2,13690200
AAPL,08-Apr-2013,424.85,427.5,422.49,426.21,10752100
AAPL,09-Apr-2013,426.36,428.5,422.75,426.98,10955400
AAPL,10-Apr-2013,428.2,437.06,426.01,435.69,13425900
