Stock,Date,Open,High,Low,Close,Volume
MSFT,01-Jan-2013,26.71,26.71,26.71,26.71,0
MSFT,02-Jan-2013,27.25,27.73,27.15,27.62,52905500
MSFT,03-Jan-2013,27.63,27.65,27.16,27.25,48297700
MSFT,04-Jan-2013,27.27,27.34,26.73,26.74,52521000
MSFT,07-Jan-2013,26.77,26.88,26.64,26.69,37120000
MSFT,08-Jan-2013,26.75,26.79,26.46,26.55,44703000
MSFT,09-Jan-2013,26.72,26.75,26.56,26.7,49047800
MSFT,10-Jan-2013,26.65,26.98,26.29,26.46,71430800
MSFT,11-Jan-2013,26.49,26.93,26.28,26.83,55518000
MSFT,14-Jan-2013,26.9,27.08,26.76,26.89,48324300
MSFT,15-Jan-2013,26.84,27.29,26.83,27.21,48244400
MSFT,16-Jan-2013,27.15,27.23,27.01,27.04,41077300
MSFT,17-Jan-2013,27.19,27.47,27.06,27.25,51685800
MSFT,18-Jan-2013,27.1,27.29,27.04,27.25,52171300
MSFT,21-Jan-2013,27.25,27.25,27.25,27.25,0
MSFT,22-Jan-2013,27.3,27.45,27,27.15,58656700
MSFT,23-Jan-2013,27.2,27.64,27.2,27.61,50387600
MSFT,24-Jan-2013,27.7,28.07,27.47,27.63,101739200
MSFT,25-Jan-2013,27.58,28.23,27.39,27.88,81853100
MSFT,28-Jan-2013,28.01,28.23,27.76,27.91,56061400
MSFT,29-Jan-2013,27.82,28.13,27.6,28.01,49247800
MSFT,30-Jan-2013,28.01,28.19,27.76,27.85,43585500
MSFT,31-Jan-2013,27.79,27.97,27.4,27.45,50536100
MSFT,01-Feb-2013,27.67,28.05,27.55,27.93,55566400
MSFT,04-Feb-2013,27.87,28.02,27.42,27.44,50539900
MSFT,05-Feb-2013,27.6,27.66,27.36,27.5,35410300
MSFT,06-Feb-2013,27.36,27.54,27.25,27.34,41889500
MSFT,07-Feb-2013,27.35,27.39,27.1,27.28,38034000
MSFT,08-Feb-2013,27.35,27.71,27.31,27.55,33320400
MSFT,11-Feb-2013,27.65,27.92,27.5,27.86,32248100
MSFT,12-Feb-2013,27.88,28,27.75,27.88,35991300
MSFT,13-Feb-2013,27.93,28.11,27.88,28.03,41716000
MSFT,14-Feb-2013,27.92,28.06,27.87,28.04,32663400
MSFT,15-Feb-2013,28.04,28.16,27.88,28.01,49657700
MSFT,18-Feb-2013,28.01,28.01,28.01,28.01,0
MSFT,19-Feb-2013,27.9,28.09,27.8,28.05,38806800
MSFT,20-Feb-2013,28.13,28.2,27.83,27.87,44112400
MSFT,21-Feb-2013,27.74,27.74,27.23,27.49,49085500
MSFT,22-Feb-2013,27.68,27.76,27.48,27.76,31430000
MSFT,25-Feb-2013,27.97,28.05,27.37,27.37,48020300
MSFT,26-Feb-2013,27.38,27.6,27.34,27.37,49925000
MSFT,27-Feb-2013,27.42,28,27.33,27.81,36395500
MSFT,28-Feb-2013,27.88,27.97,27.74,27.8,35840800
MSFT,01-Mar-2013,27.72,27.98,27.52,27.95,34851800
MSFT,04-Mar-2013,27.85,28.15,27.7,28.15,38167400
MSFT,05-Mar-2013,28.29,28.54,28.16,28.35,41437100
MSFT,06-Mar-2013,28.21,28.23,27.78,28.09,51448900
MSFT,07-Mar-2013,28.11,28.28,28,28.14,29197600
MSFT,08-Mar-2013,28.25,28.33,27.96,28,37671400
MSFT,11-Mar-2013,27.94,27.97,27.67,27.87,36635400
MSFT,12-Mar-2013,27.84,27.95,27.64,27.91,39259400
MSFT,13-Mar-2013,27.87,28.02,27.75,27.92,29103200
MSFT,14-Mar-2013,28,28.16,27.93,28.14,55917300
MSFT,15-Mar-2013,28.03,28.16,27.98,28.03,92711900
MSFT,18-Mar-2013,27.88,28.28,27.81,28.1,44828000
MSFT,19-Mar-2013,28.12,28.22,28.03,28.18,51902900
MSFT,20-Mar-2013,28.34,28.49,28.18,28.32,35454200
MSFT,21-Mar-2013,28.11,28.36,28.05,28.11,34234500
MSFT,22-Mar-2013,28.19,28.34,28.1,28.25,28720800
MSFT,25-Mar-2013,28.3,28.35,27.96,28.16,44153900
MSFT,26-Mar-2013,28.24,28.34,28.11,28.16,27831600
MSFT,27-Mar-2013,28.14,28.44,28.08,28.37,36048900
MSFT,28-Mar-2013,28.32,28.66,28.26,28.6,55455600
MSFT,29-Mar-2013,28.6,28.6,28.6,28.6,0
MSFT,01-Apr-2013,28.64,28.66,28.36,28.61,29203100
MSFT,02-Apr-2013,28.59,28.85,28.52,28.8,28460300
MSFT,03-Apr-2013,28.75,28.95,28.54,28.56,35064400
MSFT,04-Apr-2013,28.39,28.61,28.27,28.59,45267600
MSFT,05-Apr-2013,28.24,28.78,28.11,28.7,50928200
MSFT,08-Apr-2013,28.73,28.73,28.47,28.59,34759700
MSFT,09-Apr-2013,28.73,29.82,28.68,29.61,77737800
MSFT,10-Apr-2013,29.57,30.32,29.52,30.28,71116600
MSFT,11-Apr-2013,29.1,29.2,28.73,28.93,130923100
MSFT,12-Apr-2013,28.85,29.02,28.66,28.79,62888000
MSFT,15-Apr-2013,28.65,28.98,28.51,28.69,56335500
MSFT,16-Apr-2013,28.9,29.14,28.69,28.97,52804600
MSFT,17-Apr-2013,28.85,29.04,28.6,28.83,52841300
MSFT,18-Apr-2013,28.95,28.98,28.5,28.79,56906500
MSFT,19-Apr-2013,29.62,30.24,29.61,29.76,99793500
MSFT,22-Apr-2013,30.3,31.18,30.27,30.83,137909400
MSFT,23-Apr-2013,30.7,30.9,30.38,30.6,59126800
MSFT,24-Apr-2013,30.65,31.92,30.6,31.76,90955500
MSFT,25-Apr-2013,31.71,32.84,31.54,31.94,110700100
MSFT,26-Apr-2013,31.9,31.98,31.45,31.79,47802800
MSFT,29-Apr-2013,31.8,32.68,31.77,32.61,59116500
MSFT,30-Apr-2013,32.56,33.11,32.28,33.1,75166900
MSFT,01-May-2013,32.93,33.08,32.6,32.72,54336800
MSFT,02-May-2013,32.63,33.17,32.39,33.16,46069400
MSFT,03-May-2013,33.23,33.52,33.08,33.49,46786800
MSFT,06-May-2013,33.42,33.91,33.25,33.75,40982400
MSFT,07-May-2013,33.65,33.79,33.24,33.31,43078200
MSFT,08-May-2013,33.07,33.24,32.65,32.99,51595600
MSFT,09-May-2013,32.85,33,32.59,32.66,46417800
MSFT,10-May-2013,32.67,32.72,32.32,32.69,36396500
MSFT,13-May-2013,32.61,33.07,32.55,33.03,36036300
MSFT,14-May-2013,32.86,33.53,32.8,33.53,56874000
MSFT,15-May-2013,33.45,33.9,33.43,33.85,46307800
MSFT,16-May-2013,33.64,34.15,33.55,34.08,59384200
MSFT,17-May-2013,34.13,34.87,34.1,34.87,60674200
MSFT,20-May-2013,34.73,35.1,34.68,35.08,54025200
MSFT,21-May-2013,35.1,35.27,34.72,34.85,48705300
MSFT,22-May-2013,34.79,34.84,34.36,34.61,66050800
MSFT,23-May-2013,34.23,34.55,33.9,34.15,51113500
MSFT,24-May-2013,33.92,34.28,33.9,34.27,33175800
MSFT,27-May-2013,34.27,34.27,34.27,34.27,0
MSFT,28-May-2013,34.42,35.18,34.41,35.02,48218100
MSFT,29-May-2013,34.74,35.02,34.57,34.88,38419800
MSFT,30-May-2013,34.85,35.25,34.81,35.03,51133600
MSFT,31-May-2013,34.82,35.28,34.79,34.9,56167700
MSFT,03-Jun-2013,34.92,35.63,34.83,35.59,51256200
MSFT,04-Jun-2013,35.62,35.74,34.77,34.99,65538400
MSFT,05-Jun-2013,34.6,34.89,34.43,34.78,46032600
MSFT,06-Jun-2013,34.84,35.11,34.49,34.96,37627100
MSFT,07-Jun-2013,35.25,35.78,35.06,35.67,40762200
MSFT,10-Jun-2013,35.51,35.65,35.14,35.47,35995200
MSFT,11-Jun-2013,35.05,35.18,34.68,34.84,39437300
MSFT,12-Jun-2013,35.14,35.27,34.85,35,37372200
MSFT,13-Jun-2013,34.99,35.02,34.59,34.72,45654800
MSFT,14-Jun-2013,34.55,34.69,34.25,34.4,53199000
MSFT,17-Jun-2013,34.69,35.16,34.63,35,49672400
MSFT,18-Jun-2013,34.97,35.17,34.9,34.98,28622900
MSFT,19-Jun-2013,34.96,35.09,34.59,34.59,30820200
MSFT,20-Jun-2013,34.26,34.33,33.37,33.49,54496700
MSFT,21-Jun-2013,33.66,33.73,33.05,33.26,85338300
MSFT,24-Jun-2013,32.94,34.2,32.57,33.72,56113700
MSFT,25-Jun-2013,34.08,34.38,33.46,33.67,44073300
MSFT,26-Jun-2013,34.12,34.48,33.89,34.35,48667800
MSFT,27-Jun-2013,34.52,34.78,34.5,34.62,28993500
MSFT,28-Jun-2013,34.38,34.79,34.34,34.54,65548200
MSFT,01-Jul-2013,34.75,34.99,34.33,34.36,31064000
MSFT,02-Jul-2013,34.41,34.44,33.63,33.94,37634500
MSFT,03-Jul-2013,33.66,34.37,33.6,34.01,15994300
MSFT,04-Jul-2013,34.01,34.01,34.01,34.01,0
MSFT,05-Jul-2013,34.09,34.24,33.58,34.21,26085900
MSFT,08-Jul-2013,34.35,34.59,33.98,34.33,32398700
MSFT,09-Jul-2013,34.58,34.6,34.14,34.35,25320900
MSFT,10-Jul-2013,34.34,34.81,34.32,34.7,29658700
MSFT,11-Jul-2013,35,35.77,34.9,35.69,53638200
MSFT,12-Jul-2013,35.58,35.73,35.28,35.67,35502600
MSFT,15-Jul-2013,35.66,36.22,35.58,36.17,34145600
MSFT,16-Jul-2013,36.01,36.43,35.96,36.27,36378600
MSFT,17-Jul-2013,36.34,36.39,35.49,35.74,37289300
MSFT,18-Jul-2013,35.72,35.89,35.22,35.44,49547000
MSFT,19-Jul-2013,32.4,32.67,31.02,31.4,248428500
MSFT,22-Jul-2013,31.7,32.01,31.6,32.01,79040600
MSFT,23-Jul-2013,31.91,32.04,31.71,31.82,65819200
MSFT,24-Jul-2013,32.03,32.19,31.89,31.96,52812000
MSFT,25-Jul-2013,31.62,31.65,31.25,31.39,63221300
