"","Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"47739",1996,1,1,1,1831,0,2057,0,"AA",292,"N520AA",266,256,235,95,85,"DFW","SEA",1660,4,27,0,NA,0,NA,NA,NA,NA,NA
"47740",1996,1,2,2,1823,0,2047,0,"AA",292,"N445AA",264,256,245,85,77,"DFW","SEA",1660,4,15,0,NA,0,NA,NA,NA,NA,NA
"47741",1996,1,3,3,1718,0,1946,0,"AA",292,"N449AA",268,256,252,24,12,"DFW","SEA",1660,4,12,0,NA,0,NA,NA,NA,NA,NA
"47742",1996,1,4,4,1719,0,1949,0,"AA",292,"N479AA",270,256,251,27,13,"DFW","SEA",1660,5,14,0,NA,0,NA,NA,NA,NA,NA
"47743",1996,1,5,5,1818,0,2053,0,"AA",292,"N495AA",275,256,258,91,72,"DFW","SEA",1660,6,11,0,NA,0,NA,NA,NA,NA,NA
"47744",1996,1,6,6,1746,0,2025,0,"AA",292,"N505AA",279,256,254,63,40,"DFW","SEA",1660,5,20,0,NA,0,NA,NA,NA,NA,NA
"47745",1996,1,7,7,1710,0,1923,0,"AA",292,"N248AA",253,256,239,1,4,"DFW","SEA",1660,5,9,0,NA,0,NA,NA,NA,NA,NA
"47746",1996,1,8,1,1719,0,1940,0,"AA",292,"N529AA",261,256,246,18,13,"DFW","SEA",1660,4,11,0,NA,0,NA,NA,NA,NA,NA
"47747",1996,1,9,2,1739,0,1949,0,"AA",292,"N404AA",250,256,231,27,33,"DFW","SEA",1660,3,16,0,NA,0,NA,NA,NA,NA,NA
"47748",1996,1,10,3,1710,0,1929,0,"AA",292,"N506AA",259,256,237,7,4,"DFW","SEA",1660,4,18,0,NA,0,NA,NA,NA,NA,NA
"47749",1996,1,11,4,1720,0,1938,0,"AA",292,"N295AA",258,256,239,16,14,"DFW","SEA",1660,4,15,0,NA,0,NA,NA,NA,NA,NA
"47750",1996,1,12,5,1709,0,1912,0,"AA",292,"N448AA",243,256,222,-10,3,"DFW","SEA",1660,10,11,0,NA,0,NA,NA,NA,NA,NA
"47751",1996,1,13,6,1707,0,1915,0,"AA",292,"N416AA",248,256,233,-7,1,"DFW","SEA",1660,3,12,0,NA,0,NA,NA,NA,NA,NA
"47752",1996,1,14,7,1717,0,1935,0,"AA",292,"N462AA",258,256,245,13,11,"DFW","SEA",1660,3,10,0,NA,0,NA,NA,NA,NA,NA
"47753",1996,1,15,1,1710,0,1946,0,"AA",292,"N528AA",276,256,242,24,4,"DFW","SEA",1660,5,29,0,NA,0,NA,NA,NA,NA,NA
"47754",1996,1,16,2,1752,0,2006,0,"AA",292,"N214AA",254,256,238,44,46,"DFW","SEA",1660,4,12,0,NA,0,NA,NA,NA,NA,NA
"47755",1996,1,17,3,1801,0,2019,0,"AA",292,"N245AA",258,256,238,57,55,"DFW","SEA",1660,4,16,0,NA,0,NA,NA,NA,NA,NA
"47756",1996,1,18,4,1748,0,2020,0,"AA",292,"N514AA",272,256,255,58,42,"DFW","SEA",1660,5,12,0,NA,0,NA,NA,NA,NA,NA
"47757",1996,1,19,5,1719,0,1934,0,"AA",292,"N275AA",255,256,243,12,13,"DFW","SEA",1660,2,10,0,NA,0,NA,NA,NA,NA,NA
"47758",1996,1,20,6,1705,0,1919,0,"AA",292,"N447AA",254,256,235,-3,-1,"DFW","SEA",1660,4,15,0,NA,0,NA,NA,NA,NA,NA
"47759",1996,1,21,7,1730,0,2000,0,"AA",292,"N401AA",270,256,243,38,24,"DFW","SEA",1660,3,24,0,NA,0,NA,NA,NA,NA,NA
"47760",1996,1,22,1,1750,0,2003,0,"AA",292,"N255AA",253,256,237,41,44,"DFW","SEA",1660,4,12,0,NA,0,NA,NA,NA,NA,NA
"47761",1996,1,23,2,1709,0,1929,0,"AA",292,"N537AA",260,256,249,7,3,"DFW","SEA",1660,3,8,0,NA,0,NA,NA,NA,NA,NA
"47762",1996,1,24,3,1708,0,1952,0,"AA",292,"N425AA",284,256,265,30,2,"DFW","SEA",1660,6,13,0,NA,0,NA,NA,NA,NA,NA
"47763",1996,1,25,4,1704,0,1924,0,"AA",292,"N274AA",260,256,246,2,-2,"DFW","SEA",1660,4,10,0,NA,0,NA,NA,NA,NA,NA
"47764",1996,1,26,5,1709,0,1952,0,"AA",292,"N573AA",283,256,266,30,3,"DFW","SEA",1660,4,13,0,NA,0,NA,NA,NA,NA,NA
"47765",1996,1,27,6,1706,0,1924,0,"AA",292,"N560AA",258,256,238,2,0,"DFW","SEA",1660,6,14,0,NA,0,NA,NA,NA,NA,NA
"47766",1996,1,28,7,1714,0,1953,0,"AA",292,"N241AA",279,256,264,31,8,"DFW","SEA",1660,4,11,0,NA,0,NA,NA,NA,NA,NA
"47767",1996,1,29,1,1715,0,2005,0,"AA",292,"N553AA",290,256,266,43,9,"DFW","SEA",1660,5,19,0,NA,0,NA,NA,NA,NA,NA
"47768",1996,1,30,2,1707,0,1937,0,"AA",292,"N292AA",270,258,247,10,-2,"DFW","SEA",1660,7,16,0,NA,0,NA,NA,NA,NA,NA
"47769",1996,1,31,3,1710,0,1921,0,"AA",292,"N295AA",251,258,226,-3,4,"DFW","SEA",1660,4,21,0,NA,0,NA,NA,NA,NA,NA
"47770",1996,1,1,1,1121,0,1349,0,"AA",395,"N451AA",268,253,240,44,29,"DFW","SEA",1660,4,24,0,NA,0,NA,NA,NA,NA,NA
"47771",1996,1,2,2,1105,0,1321,0,"AA",395,"N449AA",256,253,239,16,13,"DFW","SEA",1660,5,12,0,NA,0,NA,NA,NA,NA,NA
"47772",1996,1,3,3,1056,0,1338,0,"AA",395,"N589AA",282,253,258,33,4,"DFW","SEA",1660,5,19,0,NA,0,NA,NA,NA,NA,NA
"47773",1996,1,4,4,1101,0,1333,0,"AA",395,"N528AA",272,253,257,28,9,"DFW","SEA",1660,4,11,0,NA,0,NA,NA,NA,NA,NA
"47774",1996,1,5,5,1052,0,1314,0,"AA",395,"N543AA",262,253,251,9,0,"DFW","SEA",1660,3,8,0,NA,0,NA,NA,NA,NA,NA
"47775",1996,1,6,6,1109,0,1354,0,"AA",395,"N248AA",285,253,251,49,17,"DFW","SEA",1660,8,26,0,NA,0,NA,NA,NA,NA,NA
"47776",1996,1,7,7,1055,0,1305,0,"AA",395,"N529AA",250,253,232,0,3,"DFW","SEA",1660,5,13,0,NA,0,NA,NA,NA,NA,NA
"47777",1996,1,8,1,1052,0,1325,0,"AA",395,"N404AA",273,253,247,20,0,"DFW","SEA",1660,8,18,0,NA,0,NA,NA,NA,NA,NA
"47778",1996,1,9,2,1122,0,1334,0,"AA",395,"N506AA",252,253,231,29,30,"DFW","SEA",1660,3,18,0,NA,0,NA,NA,NA,NA,NA
"47779",1996,1,10,3,1218,0,1430,0,"AA",395,"N295AA",252,253,234,85,86,"DFW","SEA",1660,2,16,0,NA,0,NA,NA,NA,NA,NA
"47780",1996,1,11,4,1052,0,1257,0,"AA",395,"N448AA",245,253,233,-8,0,"DFW","SEA",1660,3,9,0,NA,0,NA,NA,NA,NA,NA
"47781",1996,1,12,5,1051,0,1300,0,"AA",395,"N416AA",249,253,225,-5,-1,"DFW","SEA",1660,5,19,0,NA,0,NA,NA,NA,NA,NA
